ipr	description
IPR045165	Nitrobindin family
IPR011234	Fumarylacetoacetase-like, C-terminal
IPR036663	Fumarylacetoacetase-like, C-terminal domain superfamily
IPR041562	MCM, AAA-lid domain
IPR005959	Fumarylacetoacetase
IPR034330	Glutathione S-transferases, class Zeta , C-terminal
IPR015377	Fumarylacetoacetase, N-terminal
IPR036462	Fumarylacetoacetase, N-terminal domain superfamily
IPR003150	DNA-binding RFX-type winged-helix domain
IPR007194	Transport protein particle (TRAPP) component
IPR042378	Integral membrane protein DGCR2/IDD
IPR027725	Heat shock transcription factor family
IPR005955	Glutathione S-transferases, class Zeta
IPR034333	Glutathione S-transferases, class Zeta , N-terminal
IPR001607	Zinc finger, UBP-type
IPR000232	Heat shock factor (HSF)-type, DNA-binding
IPR029208	Cytochrome c oxidase assembly protein COX14
IPR031327	Mini-chromosome maintenance protein
IPR019191	Essential protein Yae1, N-terminal
IPR007832	RNA polymerase Rpc34
IPR016049	RNA polymerase Rpc34-like
IPR002108	Actin-depolymerising factor homology domain
IPR030072	Xin actin-binding repeat-containing protein 1/2
IPR041370	Methyltransferase EEF1AKMT1/ZCCHC4
IPR004170	WWE domain
IPR001670	Alcohol dehydrogenase, iron-type/glycerol dehydrogenase GldA
IPR042157	Hydroxyacid-oxoacid transhydrogenase
IPR033867	Ribosome assembly factor Mrt4
IPR044926	RGS, subdomain 2
IPR036465	von Willebrand factor A-like domain superfamily
IPR031310	Ribosomal protein L5, N-terminal
IPR026750	Protein N-terminal asparagine amidohydrolase
IPR031309	Ribosomal protein L5, C-terminal
IPR006642	Rad18,  zinc finger UBZ4-type
IPR033464	CSN8/PSMD8/EIF3K
IPR003690	Transcription termination factor, mitochondrial/chloroplastic
IPR000555	JAB1/MPN/MOV34 metalloenzyme domain
IPR022968	16S/18S rRNA aminocarboxypropyltransferase Tsr3
IPR002132	Ribosomal protein L5
IPR022803	Ribosomal protein L5 domain superfamily
IPR005850	Galactose-1-phosphate uridyl transferase, C-terminal
IPR014049	Glutathione synthase, N-terminal, eukaryotic
IPR027925	MCM N-terminal domain
IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
IPR017303	Mitochondrial import inner membrane translocase subunit Tim44
IPR037362	CAS family
IPR041818	Rab39
IPR038797	Protein Flattop
IPR032567	LDOC1-related
IPR037301	Toll-interacting protein, C2 domain
IPR013919	Peroxisome membrane protein, Pex16
IPR014928	Serine rich protein interaction domain
IPR021901	CAS family, C-terminal
IPR038319	CAS, serine rich four helix bundle domain superfamily
IPR010908	Longin domain
IPR036603	RNA polymerase, RBP11-like subunit
IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
IPR005312	Protein of unknown function DUF1759
IPR041387	FHOD1, N-terminal GTPase-binding domain
IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding
IPR013659	Adenosine/AMP deaminase N-terminal
IPR005442	Glutathione S-transferase, omega-class
IPR011025	G protein alpha subunit, helical insertion
IPR000239	GPCR kinase
IPR036345	Exoribonuclease, PH domain 2 superfamily
IPR006988	Nab, N-terminal
IPR039040	NAB family
IPR000091	Huntingtin
IPR000163	Prohibitin
IPR000308	14-3-3 protein
IPR000454	ATP synthase, F0 complex, subunit C
IPR000465	XPA
IPR000469	G-protein alpha subunit, group 12/13
IPR000529	Ribosomal protein S6
IPR000580	TSC-22 / Dip / Bun
IPR000711	ATPase, OSCP/delta subunit
IPR000740	GrpE nucleotide exchange factor
IPR000872	Tafazzin
IPR000956	Stathmin family
IPR001152	Beta-thymosin
IPR001154	DNA topoisomerase II, eukaryotic-type
IPR001161	Helicase XPB/Ssl2
IPR001166	Hyperglycemic hormone
IPR001217	Transcription factor STAT
