short	group	C	S	D	F	M
Acha	ants	0.0	0.0	0.0	0.0	100.0
Acep	ants	92.3	92.2	0.1	1.8	5.9
Ahey	ants	0.0	0.0	0.0	0.0	14.9
Ains	ants	0.0	0.0	0.0	0.0	100.0
Acol	ants	96.4	96.2	0.2	0.2	3.4
Agif	wasps	92.9	89.2	3.7	0.4	6.7
Acer	bees	88.5	87.9	0.6	2.3	9.2
Ador	bees	90.0	89.9	0.1	1.0	9.0
Acom	wasps	92.7	92.6	0.1	2.7	4.6
Aech	ants	96.6	96.3	0.3	0.4	3.0
Aflo	bees	93.4	93.2	0.2	1.6	5.0
Alab	bees	98.0	97.9	0.1	0.3	1.7
Amel	bees	98.3	98.1	0.2	0.3	1.4
Aros	sawflies	98.7	98.3	0.4	0.3	1.0
Baff	bees	98.9	98.5	0.4	0.1	1.0
Bbif	bees	98.8	98.3	0.5	0.2	1.0
Bhun	bees	98.4	98.1	0.3	0.2	1.4
Bimp	bees	97.0	96.8	0.2	0.3	2.7
Bkin	wasps	92.7	91.6	1.1	1.7	5.6
Bpyr	bees	98.6	98.4	0.2	0.3	1.1
Bter	bees	98.8	98.4	0.4	0.1	1.1
Bvan	bees	99.0	98.4	0.6	0.2	0.8
Bvos	bees	98.6	98.3	0.3	0.2	1.2
Ccal	bees	94.6	93.5	1.1	1.0	4.4
Ccin	sawflies	98.2	97.9	0.3	0.3	1.5
Ccos	ants	96.8	96.3	0.5	0.4	2.8
Csol	wasps	87.8	87.4	0.4	1.8	10.4
Cflo	ants	99.0	98.4	0.6	0.1	0.9
Cgig	bees	98.1	97.2	0.9	0.2	1.7
Cofl	wasps	88.3	86.1	2.2	2.9	8.8
Ccon	wasps	75.2	74.4	0.8	4.7	20.1
Cglo	wasps	94.4	93.6	0.8	0.7	4.9
Cins	wasps	95.9	95.0	0.9	0.3	3.8
Dall	wasps	96.2	95.5	0.7	0.6	3.2
Dnov	bees	95.6	95.4	0.2	0.3	4.1
Dqua	ants	97.4	97.2	0.2	0.6	2.0
Dsim	sawflies	94.6	94.0	0.6	0.3	5.1
Ebur	ants	91.1	90.6	0.5	0.6	8.3
Emex	bees	95.5	94.5	1.0	0.4	4.1
Fari	wasps	94.4	94.0	0.4	1.0	4.6
Fexs	ants	94.6	92.4	2.2	0.9	4.5
Fvar	bees	97.3	97.1	0.2	0.8	1.9
Hlab	bees	89.2	89.0	0.2	0.4	10.4
Hsal	ants	98.9	98.1	0.8	0.3	0.8
Hita	bees	17.4	17.4	0.0	1.1	81.5
Lnig	ants	60.2	59.7	0.5	15.0	24.8
Lhum	ants	97.4	97.1	0.3	0.3	2.3
Mdem	wasps	96.4	95.6	0.8	0.3	3.3
Mgen	bees	92.8	91.5	1.3	0.3	6.9
Mqua	bees	79.3	79.2	0.1	3.7	17.0
Mpha	ants	98.3	95.7	2.6	0.4	1.3
Mmex	wasps	84.2	78.9	5.3	3.8	12.0
Mrot	bees	97.0	96.8	0.2	0.4	2.6
Nfab	sawflies	98.3	97.6	0.7	0.2	1.5
Nful	ants	95.3	93.2	2.1	0.5	4.2
Nlec	sawflies	98.2	97.5	0.7	0.3	1.5
Nmel	bees	94.8	94.6	0.2	0.8	4.4
Npin	sawflies	98.0	97.4	0.6	0.3	1.7
Nvir	sawflies	98.2	97.5	0.7	0.3	1.5
Nvit	wasps	95.1	94.0	1.1	0.6	4.3
Oabi	sawflies	95.2	95.0	0.2	0.7	4.1
Obic	bees	97.3	97.1	0.2	0.3	2.4
Obir	ants	98.2	96.5	1.7	0.3	1.5
Obru	ants	98.5	97.8	0.7	0.1	1.4
Pbar	ants	92.3	92.2	0.1	2.1	5.6
Pcan	wasps	95.9	95.5	0.4	0.5	3.6
Pdom	wasps	96.0	95.7	0.3	0.4	3.6
Pexc	wasps	91.5	90.2	1.3	2.1	6.4
Pfus	wasps	96.4	95.9	0.5	0.3	3.3
Parg	ants	0.0	0.0	0.0	0.0	100.0
Pgra	ants	97.3	96.9	0.4	0.6	2.1
Sinv	ants	98.8	98.1	0.7	0.2	1.0
Tcur	ants	92.0	86.4	5.6	1.6	6.4
Tlon	ants	66.9	66.6	0.3	2.9	30.2
Tcor	ants	96.8	96.6	0.2	0.4	2.8
Tpre	wasps	92.1	90.3	1.8	0.7	7.2
Tsep	ants	97.5	97.3	0.2	0.3	2.2
Tzet	ants	96.1	95.9	0.2	0.3	3.6
Tsar	wasps	69.8	69.2	0.6	2.6	27.6
Vcan	wasps	97.1	96.5	0.6	0.3	2.6
Vcra	wasps	98.0	97.6	0.4	0.3	1.7
Veme	ants	98.2	97.7	0.5	0.5	1.3
Vger	wasps	0.0	0.0	0.0	0.0	100.0
Vpen	wasps	98.0	97.8	0.2	0.3	1.7
Vvul	wasps	0.0	0.0	0.0	0.0	100.0
Vvel	wasps	96.8	96.3	0.5	0.5	2.7
Waur	ants	96.9	96.6	0.3	0.7	2.4
