SPECIES	ABBREV	GROUP	SOCIALITY_LEVEL	IS_EUSOCIAL
Acromyrmex echinatior	Aech	ants	3	TRUE
Ampulex compressa	Acom	wasps	1	FALSE
Apis florea	Aflo	bees	3	TRUE
Apis laboriosa	Alab	bees	3	TRUE
Apis mellifera	Amel	bees	3	TRUE
Athalia rosae	Aros	sawflies	1	FALSE
Atta cephalotes	Acep	ants	3	TRUE
Atta colombica	Acol	ants	3	TRUE
Belonocnema kinseyi	Bkin	wasps	1	FALSE
Bombus affinis	Baff	bees	3	TRUE
Bombus bifarius	Bbif	bees	3	TRUE
Bombus huntii	Bhun	bees	3	TRUE
Bombus impatiens	Bimp	bees	3	TRUE
Bombus pyrosoma	Bpyr	bees	3	TRUE
Bombus terrestris	Bter	bees	3	TRUE
Bombus vancouverensis nearticus	Bvan	bees	3	TRUE
Bombus vosnesenskii	Bvos	bees	3	TRUE
Camponotus floridanus	Cflo	ants	3	TRUE
Cephus cinctus	Ccin	sawflies	1	FALSE
Ceratina calcarata	Ccal	bees	2	FALSE
Chelonus insularis	Cins	wasps	1	FALSE
Colletes gigas	Cgig	bees	1	FALSE
Cotesia glomerata	Cglo	wasps	1	FALSE
Cyphomyrmex costatus	Ccos	ants	3	TRUE
Diachasma alloeum	Dall	wasps	1	FALSE
Dinoponera quadriceps	Dqua	ants	3	TRUE
Diprion similis	Dsim	sawflies	1	FALSE
Drosophila melanogaster	Dmel	flies	1	FALSE
Dufourea novaeangliae	Dnov	bees	1	FALSE
Eciton burchellii	Ebur	ants	3	TRUE
Eufriesea mexicana	Emex	bees	2	FALSE
Fopius arisanus	Fari	wasps	1	FALSE
Formica exsecta	Fexs	ants	3	TRUE
Frieseomelitta varia	Fvar	bees	3	TRUE
Harpegnathos saltator	Hsal	ants	3	TRUE
Linepithema humile	Lhum	ants	3	TRUE
Megachile rotundata	Mrot	bees	1	FALSE
Megalopta genalis	Mgen	bees	3	TRUE
Microplitis demolitor	Mdem	wasps	1	FALSE
Monomorium pharaonis	Mpha	ants	3	TRUE
Nasonia vitripennis	Nvit	wasps	1	FALSE
Neodiprion fabricii	Nfab	sawflies	1	FALSE
Neodiprion lecontei	Nlec	sawflies	1	FALSE
Neodiprion pinetum	Npin	sawflies	1	FALSE
Neodiprion virginianus	Nvir	sawflies	1	FALSE
Nomia melanderi	Nmel	bees	2	FALSE
Nylanderia fulva	Nful	ants	3	TRUE
Odontomachus brunneus	Obru	ants	3	TRUE
Ooceraea biroi	Obir	ants	3	TRUE
Orussus abietinus	Oabi	sawflies	1	FALSE
Osmia bicornis bicornis	Obic	bees	1	FALSE
Pogonomyrmex barbatus	Pbar	ants	3	TRUE
Polistes canadensis	Pcan	wasps	3	TRUE
Polistes dominula	Pdom	wasps	3	TRUE
Polistes exclamans	Pexc	wasps	3	TRUE
Polistes fuscatus	Pfus	wasps	3	TRUE
Pseudomyrmex gracilis	Pgra	ants	3	TRUE
Solenopsis invicta	Sinv	ants	3	TRUE
Trachymyrmex cornetzi	Tcor	ants	3	TRUE
Trachymyrmex septentrionalis	Tsep	ants	3	TRUE
Trachymyrmex zeteki	Tzet	ants	3	TRUE
Tribolium castaneum	Tcas	beetles	1	FALSE
Trichogramma pretiosum	Tpre	wasps	1	FALSE
Venturia canescens	Vcan	wasps	1	FALSE
Vespa crabro	Vcra	wasps	3	TRUE
Vespa velutina	Vvel	wasps	3	TRUE
Vespula pensylvanica	Vpen	wasps	3	TRUE
Vollenhovia emeryi	Veme	ants	3	TRUE
Wasmannia auropunctata	Waur	ants	3	TRUE
